time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.027,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.047,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.060,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.067,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.114, 1.215, -0.732,35.627, 356.225, 359.561,-0.198, 0.457, -0.560,0.562, 289.706, 351.048,-0.220, 0.062, 0.873,null,null,null
0.072,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.111, 1.214, -0.731,35.822, 357.701, 359.910,-0.198, 0.457, -0.560,0.540, 289.741, 351.022,-0.175, 0.062, 0.863,null,null,null
0.079,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.107, 1.214, -0.730,35.972, 359.088, 0.403,-0.198, 0.457, -0.560,0.514, 289.801, 351.018,-0.133, 0.062, 0.856,null,null,null
0.085,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.106, 1.213, -0.729,36.031, 0.098, 0.823,-0.198, 0.457, -0.560,0.475, 289.799, 350.982,-0.103, 0.062, 0.853,null,null,null
0.092,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.106, 1.213, -0.729,36.031, 0.098, 0.823,-0.198, 0.457, -0.560,0.475, 289.799, 350.982,-0.103, 0.062, 0.853,null,null,null
0.099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.106, 1.213, -0.729,36.031, 0.098, 0.823,-0.198, 0.457, -0.560,0.475, 289.799, 350.982,-0.103, 0.062, 0.853,null,null,null
