time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.088, 1.179, -0.722,43.256, 7.141, 3.791,-0.116, 0.660, -0.720,33.663, 316.373, 12.855,0.008, 0.448, 0.049,null,null,null
0.014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.088, 1.179, -0.722,43.256, 7.141, 3.791,-0.116, 0.660, -0.720,33.663, 316.373, 12.855,0.016, 0.388, 0.112,null,null,null
0.021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.088, 1.182, -0.724,42.563, 6.977, 3.556,-0.116, 0.660, -0.720,33.743, 316.446, 13.216,0.017, 0.388, 0.134,null,null,null
0.027,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.088, 1.185, -0.725,41.680, 6.808, 3.349,-0.116, 0.660, -0.721,33.925, 316.443, 12.978,0.018, 0.388, 0.163,null,null,null
0.033,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.089, 1.188, -0.728,40.754, 6.611, 3.221,-0.116, 0.660, -0.721,33.962, 316.632, 13.061,0.018, 0.388, 0.194,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.089, 1.188, -0.728,40.754, 6.611, 3.221,-0.116, 0.660, -0.721,33.962, 316.632, 13.061,0.018, 0.388, 0.194,null,null,null
0.046,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.089, 1.188, -0.728,40.754, 6.611, 3.221,-0.116, 0.660, -0.721,33.962, 316.632, 13.061,0.018, 0.388, 0.194,null,null,null
0.053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.089, 1.194, -0.729,39.482, 6.203, 2.885,-0.116, 0.661, -0.721,34.195, 316.642, 13.002,0.059, 0.062, 0.636,null,null,null
0.057,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.089, 1.199, -0.734,37.652, 5.641, 2.360,-0.116, 0.661, -0.720,33.962, 316.445, 12.735,0.056, 0.062, 0.732,null,null,null
0.065,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.089, 1.199, -0.734,37.652, 5.641, 2.360,-0.116, 0.661, -0.720,33.962, 316.445, 12.735,0.056, 0.062, 0.732,null,null,null
